,FCR,Length,method,Thresholding_type
98,0.03905325443786978,5.426168482711412,ACP,T-pos
99,0.1314475873544093,0.5654971047198581,SCOP,T-test
100,0.018333333333333313,4.411844762618582,OCP,T-test
101,0.00666666666666671,8.944850219011041,ACP,T-test
102,0.13279132791327908,0.6044854533032958,SCOP,T-cal
103,0.01902173913043481,4.411844762618582,OCP,T-cal
104,0.010869565217391353,10.995540737600493,ACP,T-cal
105,0.10045961917268553,2.312248789744441,SCOP,T-pos
106,0.05781865965834432,4.411844762618582,OCP,T-pos
107,0.042049934296977676,5.233631793053831,ACP,T-pos
108,0.07154742096505828,0.7990791144622075,SCOP,T-test
109,0.018333333333333313,4.558893043299294,OCP,T-test
110,0.013333333333333308,8.829547123229958,ACP,T-test
111,0.04790419161676651,0.8878294785804955,SCOP,T-cal
112,0.012048192771084376,4.558893043299294,OCP,T-cal
113,0.0060240963855421326,12.990892663001413,ACP,T-cal
114,0.09372693726937265,2.2405876649487437,SCOP,T-pos
115,0.03249630723781394,4.558893043299294,OCP,T-pos
116,0.025110782865583436,5.569046349306675,ACP,T-pos
117,0.08652246256239604,1.574786453453657,SCOP,T-test
118,0.025000000000000022,4.360629970331766,OCP,T-test
119,0.010000000000000009,8.151007911236984,ACP,T-test
120,0.09398496240601506,1.5212795269405648,SCOP,T-cal
121,0.016949152542372836,4.360629970331766,OCP,T-cal
122,0.005649717514124242,8.605643429799263,ACP,T-cal
123,0.09352037408149627,2.5538588682363286,SCOP,T-pos
124,0.05213903743315507,4.360629970331766,OCP,T-pos
125,0.046791443850267345,5.112616297412202,ACP,T-pos
126,0.08818635607321135,0.9504981008402899,SCOP,T-test
127,0.021666666666666612,4.576069215946533,OCP,T-test
128,0.010000000000000009,8.115715976899587,ACP,T-test
129,0.0742049469964664,0.9885985173763996,SCOP,T-cal
130,0.007092198581560294,4.576069215946533,OCP,T-cal
131,0.0,11.04798833982814,ACP,T-cal
132,0.09024064171122992,2.973346836324087,SCOP,T-pos
133,0.04280936454849493,4.576069215946533,OCP,T-pos
134,0.03678929765886285,5.233118023426221,ACP,T-pos
135,0.11314475873544094,0.7555462370846735,SCOP,T-test
136,0.020000000000000018,4.62532105903966,OCP,T-test
137,0.013333333333333308,8.08491127522706,ACP,T-test
138,0.10666666666666669,0.8657615836614261,SCOP,T-cal
139,0.0267857142857143,4.62532105903966,OCP,T-cal
140,0.013392857142857095,10.919014254444253,ACP,T-cal
141,0.10031678986272441,4.233653480285392,SCOP,T-pos
142,0.07395668251452725,4.62532105903966,OCP,T-pos
143,0.07131537242472263,4.744663119574163,ACP,T-pos
144,0.10815307820299502,0.46372657162601666,SCOP,T-test
145,0.015000000000000013,4.868074702983039,OCP,T-test
146,0.0033333333333332993,8.456347327420996,ACP,T-test
147,0.0876712328767123,0.48393722186419585,SCOP,T-cal
148,0.0,4.868074702983039,OCP,T-cal
149,0.0,10.500704897038855,ACP,T-cal
150,0.1094527363184079,0.46355861267686704,SCOP,T-pos
151,0.014950166112956853,4.868074702983039,OCP,T-pos
152,0.0033222591362126463,8.442152059878593,ACP,T-pos
153,0.10648918469217972,0.7067583492523452,SCOP,T-test
154,0.020000000000000018,4.601931232055977,OCP,T-test
155,0.010000000000000009,8.095848076707968,ACP,T-test
156,0.11550151975683887,0.7599740964707705,SCOP,T-cal
157,0.018292682926829285,4.601931232055977,OCP,T-cal
158,0.0060975609756097615,10.071979285886433,ACP,T-cal
159,0.08688245315161836,1.435235574091509,SCOP,T-pos
160,0.03154305200341001,4.601931232055977,OCP,T-pos
161,0.022165387894288124,5.847851014430289,ACP,T-pos
162,0.1031613976705491,1.1891154383867462,SCOP,T-test
163,0.023333333333333317,4.574345233651128,OCP,T-test
164,0.011666666666666714,8.488612328705942,ACP,T-test
165,0.09006928406466508,1.2434751870949146,SCOP,T-cal
166,0.01851851851851849,4.574345233651128,OCP,T-cal
167,0.0092592592592593,9.978934851847562,ACP,T-cal
168,0.10506260206859008,3.9541782771780043,SCOP,T-pos
169,0.07352941176470584,4.574345233651128,OCP,T-pos
170,0.06644880174291934,4.752857796250834,ACP,T-pos
171,0.09816971713810319,0.9538736259320425,SCOP,T-test
172,0.023333333333333317,4.692542392511938,OCP,T-test
173,0.015000000000000013,8.54993100876336,ACP,T-test
174,0.06344410876132933,1.138578414001457,SCOP,T-cal
175,0.015151515151515138,4.692542392511938,OCP,T-cal
176,0.00303030303030305,10.649134966846427,ACP,T-cal
177,0.10506085842408708,3.031060130925871,SCOP,T-pos
178,0.0525641025641026,4.692542392511938,OCP,T-pos
179,0.04679487179487174,5.159652331502289,ACP,T-pos
180,0.10981697171381033,1.2039747097630005,SCOP,T-test
181,0.015000000000000013,4.610950633164004,OCP,T-test
182,0.00666666666666671,9.042327086295252,ACP,T-test
183,0.10624999999999996,1.2601830009608963,SCOP,T-cal
184,0.014613778705636737,4.610950633164004,OCP,T-cal
185,0.006263048016701411,10.1437813755573,ACP,T-cal
186,0.08088235294117652,2.1873834496169056,SCOP,T-pos
187,0.038263428991905823,4.610950633164004,OCP,T-pos
188,0.030169242089771897,5.587856302153112,ACP,T-pos
189,0.10482529118136441,1.3801594205419772,SCOP,T-test
190,0.02833333333333332,4.545059442434532,OCP,T-test
191,0.020000000000000018,8.135452022201562,ACP,T-test
192,0.1030927835051546,1.43000344305145,SCOP,T-cal
193,0.022727272727272707,4.545059442434532,OCP,T-cal
194,0.012396694214875992,8.847957138278426,ACP,T-cal
195,0.10867346938775513,4.3309346400021616,SCOP,T-pos
196,0.10362429811128127,4.545059442434532,OCP,T-pos
197,0.10056151097498722,4.6136997925602,ACP,T-pos
198,0.10815307820299502,0.703684417636441,SCOP,T-test
199,0.023333333333333317,4.434927189878746,OCP,T-test
200,0.010000000000000009,8.333792775434816,ACP,T-test
201,0.07253886010362698,0.9059862575716952,SCOP,T-cal
202,0.01041666666666663,4.434927189878746,OCP,T-cal
203,0.00520833333333337,12.432663280412704,ACP,T-cal
204,0.10526315789473684,0.7375119223503659,SCOP,T-pos
205,0.0234375,4.434927189878746,OCP,T-pos
206,0.009765625,8.812663162522139,ACP,T-pos
207,0.08818635607321135,0.5462036058325085,SCOP,T-test
208,0.01666666666666672,4.417499571313572,OCP,T-test
209,0.00666666666666671,7.577410729101745,ACP,T-test
210,0.08720930232558144,0.429345741456929,SCOP,T-cal
211,0.0,4.417499571313572,OCP,T-cal
212,0.0,12.04213982776444,ACP,T-cal
213,0.09999999999999998,0.6651608506289338,SCOP,T-pos
214,0.021156558533145242,4.417499571313572,OCP,T-pos
215,0.012693935119887145,7.240284276234716,ACP,T-pos
216,0.08985024958402665,0.761060643879047,SCOP,T-test
217,0.01666666666666672,4.542697199428876,OCP,T-test
218,0.008333333333333304,8.263803228903306,ACP,T-test
219,0.0972972972972973,0.9822240219194865,SCOP,T-cal
220,0.016304347826086918,4.542697199428876,OCP,T-cal
221,0.010869565217391353,12.351858636161618,ACP,T-cal
222,0.08292682926829265,0.7649334699499387,SCOP,T-pos
223,0.01791530944625408,4.542697199428876,OCP,T-pos
224,0.009771986970684043,8.169284044864403,ACP,T-pos
225,0.1014975041597338,1.326776572115793,SCOP,T-test
226,0.020000000000000018,4.708482806389468,OCP,T-test
227,0.015000000000000013,7.631853380719303,ACP,T-test
228,0.10359408033826634,1.353548154059032,SCOP,T-cal
229,0.01906779661016944,4.708482806389468,OCP,T-cal
230,0.008474576271186418,8.44893711116943,ACP,T-cal
231,0.08677685950413228,2.693365691947649,SCOP,T-pos
232,0.03376981392143352,4.708482806389468,OCP,T-pos
233,0.0289455547898001,5.393342663879962,ACP,T-pos
234,0.08652246256239604,0.9020736698931449,SCOP,T-test
235,0.013333333333333308,4.649011408934752,OCP,T-test
236,0.008333333333333304,8.253258839321283,ACP,T-test
237,0.1271186440677966,0.5143863525638702,SCOP,T-cal
238,0.0,4.649011408934752,OCP,T-cal
239,0.0,13.939331135910605,ACP,T-cal
240,0.09523809523809523,2.1986298373213145,SCOP,T-pos
241,0.03125,4.649011408934752,OCP,T-pos
242,0.021874999999999978,5.843440150995824,ACP,T-pos
243,0.1281198003327787,0.5324482427441594,SCOP,T-test
244,0.013333333333333308,4.259636223844809,OCP,T-test
245,0.00666666666666671,7.671228733345724,ACP,T-test
246,0.09375,0.2611053215096565,SCOP,T-cal
247,0.0,4.259636223844809,OCP,T-cal
248,0.0,17.61392500047999,ACP,T-cal
249,0.11855670103092786,0.5229881518553557,SCOP,T-pos
250,0.013769363166953541,4.259636223844809,OCP,T-pos
251,0.005163511187607606,7.995461473656832,ACP,T-pos
252,0.09317803660565727,1.0348217383444696,SCOP,T-test
253,0.013333333333333308,4.731626252303649,OCP,T-test
254,0.008333333333333304,8.361988257061592,ACP,T-test
